ID,name,deadline,type,data_size_GB,RAM_requirement_GB,working_units
T49,Lydia,2022-05-16 21:00:00,CPU,130,16,880
T50,Samantha,2022-05-22 14:00:00,CPU,140,16,1175
T51,Chester,2022-05-16 16:00:00,GPU,130,32,570
T52,Paul,2022-05-28 06:00:00,GPU,130,128,685
T53,Michael,2022-05-24 04:00:00,CPU,115,8,1135
T54,Chloe,2022-05-24 01:00:00,CPU,140,8,415
T55,Alina,2022-05-26 12:00:00,GPU,80,32,995
T56,Kevin,2022-05-20 17:00:00,GPU,70,16,425
T57,Tyler,2022-05-17 14:00:00,GPU,85,128,340
T58,Daryl,2022-05-25 17:00:00,CPU,110,128,590
T59,Arianna,2022-05-16 11:00:00,GPU,80,128,1205
T60,Kellan,2022-05-17 09:00:00,CPU,60,128,675
T61,Michelle,2022-05-23 17:00:00,CPU,140,64,355
T62,Sofia,2022-05-21 18:00:00,GPU,120,16,680
T63,Maddie,2022-05-19 14:00:00,GPU,85,8,775
T64,Alexander,2022-05-23 10:00:00,GPU,100,64,1060
T65,Lucia,2022-05-24 09:00:00,GPU,65,128,725
T66,Chloe,2022-05-30 09:00:00,GPU,75,16,700
T67,Lucy,2022-05-18 09:00:00,GPU,110,32,515
T68,Violet,2022-05-19 04:00:00,CPU,85,16,305
T69,Sophia,2022-05-18 00:00:00,GPU,90,8,920
T70,Sophia,2022-05-29 05:00:00,GPU,135,16,500
T71,Sabrina,2022-05-16 16:00:00,CPU,115,32,1020
T72,Oliver,2022-05-20 10:00:00,CPU,130,64,1245
T73,Dexter,2022-05-17 04:00:00,GPU,140,8,670
T74,Paul,2022-05-31 12:00:00,CPU,90,64,485
T75,Kelsey,2022-05-26 18:00:00,CPU,100,32,1160
T76,Sydney,2022-05-30 15:00:00,GPU,60,16,740
T77,Alissa,2022-05-30 19:00:00,CPU,95,32,900
T78,Lucas,2022-05-24 23:00:00,CPU,95,16,695
T79,Briony,2022-05-31 04:00:00,GPU,150,64,795
T80,Anna,2022-05-27 09:00:00,CPU,145,128,790
T81,Sienna,2022-05-25 05:00:00,CPU,100,128,875
T82,Byron,2022-05-29 09:00:00,CPU,130,128,1225
T83,Alissa,2022-05-20 07:00:00,CPU,70,128,855
T84,Tess,2022-05-15 06:00:00,CPU,60,32,740
T85,Sophia,2022-05-16 03:00:00,CPU,120,8,1035
T86,Sienna,2022-05-23 18:00:00,GPU,80,64,1055
T87,Savana,2022-05-27 20:00:00,CPU,80,8,565
T88,James,2022-05-19 09:00:00,CPU,145,64,880
T89,Violet,2022-05-29 10:00:00,CPU,70,128,885
T90,Henry,2022-05-15 20:00:00,GPU,50,16,1000
T91,Sophia,2022-05-16 09:00:00,CPU,100,16,775
T92,Rafael,2022-05-30 21:00:00,GPU,60,32,275
T93,Julian,2022-05-26 02:00:00,CPU,65,128,955
T94,Valeria,2022-05-19 20:00:00,GPU,120,16,905
T95,Ashton,2022-05-20 01:00:00,CPU,75,32,595
T96,Stella,2022-05-31 05:00:00,CPU,55,64,365
T97,Aiden,2022-05-16 06:00:00,CPU,150,8,870
T98,Melanie,2022-05-19 00:00:00,CPU,95,32,735
T99,Maddie,2022-05-24 18:00:00,CPU,50,128,1115
T100,Kellan,2022-05-20 13:00:00,CPU,105,128,845
T101,Marcus,2022-05-24 15:00:00,CPU,75,8,535
T102,Aida,2022-05-30 18:00:00,GPU,110,8,1065
T103,Harold,2022-05-23 15:00:00,GPU,145,64,965
T104,Jenna,2022-05-31 16:00:00,GPU,95,8,705
T105,Edwin,2022-05-28 19:00:00,CPU,65,16,425
T106,Rosie,2022-05-17 02:00:00,CPU,140,32,895
T107,Blake,2022-05-17 15:00:00,CPU,95,64,420
T108,Ryan,2022-05-17 01:00:00,CPU,115,64,795
T109,Alen,2022-05-23 02:00:00,CPU,130,64,255
T110,Valeria,2022-05-23 07:00:00,CPU,60,64,575
T111,Alberta,2022-05-20 00:00:00,GPU,130,8,795
T112,Garry,2022-05-27 09:00:00,CPU,80,32,555
T113,Vivian,2022-05-28 00:00:00,CPU,65,32,745
T114,Jenna,2022-05-31 12:00:00,GPU,105,64,1240
T115,Rosie,2022-05-21 13:00:00,CPU,95,16,740
T116,Luke,2022-05-18 15:00:00,CPU,125,16,970
T117,Mary,2022-05-21 10:00:00,CPU,65,32,380
T118,Nicholas,2022-05-28 20:00:00,CPU,50,32,1155
T119,Caroline,2022-05-20 18:00:00,GPU,75,64,570
T120,Richard,2022-05-30 18:00:00,GPU,95,16,1150
T121,Chloe,2022-05-31 14:00:00,CPU,65,32,670
T122,Sophia,2022-05-22 02:00:00,CPU,145,8,1080
T123,Luke,2022-05-26 20:00:00,GPU,50,8,995
T124,Michael,2022-05-25 06:00:00,GPU,140,64,1140
T125,Sophia,2022-05-20 13:00:00,CPU,105,64,705
T126,Elian,2022-05-16 23:00:00,CPU,80,16,915
T127,Nicole,2022-05-24 07:00:00,CPU,55,16,740
T128,Julian,2022-05-25 01:00:00,GPU,65,32,1150
T129,Lucia,2022-05-28 16:00:00,GPU,60,16,300
T130,Eleanor,2022-05-17 04:00:00,CPU,125,64,285
T131,Nicholas,2022-05-23 04:00:00,GPU,115,8,405
T132,Nicole,2022-05-24 14:00:00,GPU,65,64,975
T133,Daryl,2022-05-26 16:00:00,CPU,80,8,435
T134,Alexia,2022-05-22 03:00:00,GPU,50,16,440
T135,Eleanor,2022-05-26 23:00:00,GPU,140,8,1180
T136,Jasmine,2022-05-26 00:00:00,GPU,100,8,665
T137,Michelle,2022-05-22 04:00:00,CPU,110,128,995
T138,Anna,2022-05-15 12:00:00,CPU,110,64,895
T139,Kellan,2022-05-26 03:00:00,CPU,135,8,1195
T140,Alford,2022-05-25 18:00:00,GPU,125,32,955
T141,Savana,2022-05-21 06:00:00,GPU,80,64,1200
T142,Richard,2022-05-31 16:00:00,GPU,135,128,1070
T143,Darcy,2022-05-27 08:00:00,CPU,90,128,815
T144,Oliver,2022-05-30 02:00:00,GPU,95,128,690
T145,Elise,2022-05-19 17:00:00,GPU,90,64,570
T146,Rafael,2022-05-15 07:00:00,GPU,145,64,985
T147,Sydney,2022-05-21 23:00:00,CPU,65,64,1210
T148,Alford,2022-05-21 00:00:00,GPU,110,32,820
T149,Julian,2022-05-19 21:00:00,GPU,55,16,555
T150,Jasmine,2022-05-29 06:00:00,CPU,145,64,920
T151,Eddy,2022-05-21 14:00:00,GPU,60,32,985
T152,Ryan,2022-05-30 23:00:00,GPU,145,16,770
T153,Kellan,2022-05-27 07:00:00,GPU,80,16,385
T154,Michelle,2022-05-25 12:00:00,GPU,150,8,1245
T155,Rosie,2022-05-15 14:00:00,GPU,95,8,955
T156,Daryl,2022-05-22 10:00:00,GPU,135,128,780
T157,Alan,2022-05-15 13:00:00,CPU,130,32,780
T158,Lucas,2022-05-15 15:00:00,GPU,75,16,655
T159,Adele,2022-05-23 18:00:00,CPU,125,8,305
T160,Florrie,2022-05-31 21:00:00,GPU,65,8,1210
T161,Tyler,2022-05-19 15:00:00,GPU,125,16,460
T162,James,2022-05-31 09:00:00,CPU,135,64,860
T163,Jacob,2022-05-20 01:00:00,GPU,60,128,335
T164,Oliver,2022-05-15 02:00:00,GPU,95,64,730
T165,Alfred,2022-05-26 18:00:00,CPU,125,8,320
T166,Leonardo,2022-05-16 04:00:00,CPU,80,128,705
T167,Sophia,2022-05-22 16:00:00,GPU,135,8,480
T168,Elian,2022-05-15 21:00:00,GPU,65,32,990
T169,Sarah,2022-05-22 11:00:00,CPU,150,16,930
T170,Jordan,2022-05-19 16:00:00,GPU,120,128,290
T171,Paul,2022-05-29 20:00:00,CPU,60,8,410
T172,Paul,2022-05-24 02:00:00,CPU,90,32,1005
T173,Richard,2022-05-19 04:00:00,CPU,65,128,370
T174,Fenton,2022-05-25 03:00:00,GPU,55,64,1010
T175,Michael,2022-05-19 16:00:00,GPU,120,64,440
T176,Carlos,2022-05-31 16:00:00,GPU,90,128,810
T177,Hailey,2022-05-15 01:00:00,CPU,135,64,495
T178,Anna,2022-05-16 12:00:00,CPU,130,32,1190
T179,Alexia,2022-05-16 00:00:00,CPU,110,16,1110
T180,Sofia,2022-05-25 21:00:00,CPU,140,16,790
T181,Natalie,2022-05-29 21:00:00,CPU,50,32,415
T182,Arthur,2022-05-29 05:00:00,GPU,105,8,1100
T183,Nicole,2022-05-24 04:00:00,CPU,130,32,750
T184,Nicholas,2022-05-17 03:00:00,CPU,50,64,1205
T185,Lucia,2022-05-23 23:00:00,GPU,150,8,350
T186,Maya,2022-05-18 18:00:00,GPU,135,16,585
T187,Valeria,2022-05-25 07:00:00,GPU,105,32,560
T188,Honey,2022-05-16 11:00:00,CPU,125,64,680
T189,David,2022-05-30 23:00:00,CPU,105,16,715
T190,Richard,2022-05-28 16:00:00,CPU,80,8,365
T191,Rosie,2022-05-17 23:00:00,GPU,50,16,680
T192,Caroline,2022-05-23 11:00:00,GPU,100,32,540
T193,Darcy,2022-05-17 19:00:00,CPU,75,8,265
T194,Samantha,2022-05-23 20:00:00,GPU,50,128,555
T195,Amanda,2022-05-22 06:00:00,GPU,150,64,535
T196,Kate,2022-05-31 20:00:00,GPU,150,128,540
T197,Aida,2022-05-18 14:00:00,CPU,70,64,725
T198,Tyler,2022-05-28 09:00:00,CPU,50,8,760
T199,Robert,2022-05-16 18:00:00,CPU,120,8,610
T200,Adele,2022-05-29 09:00:00,CPU,115,32,750
T201,Mary,2022-05-22 06:00:00,GPU,75,128,265
T202,Alford,2022-05-15 04:00:00,GPU,90,8,270
T203,Alexia,2022-05-30 22:00:00,GPU,65,128,255
T204,Tess,2022-05-29 06:00:00,CPU,80,128,475
T205,Elise,2022-05-21 15:00:00,GPU,55,16,285
T206,Rosie,2022-05-25 12:00:00,CPU,145,64,930
T207,Myra,2022-05-27 21:00:00,CPU,85,16,470
T208,Sophia,2022-05-17 08:00:00,CPU,150,16,500
T209,Arthur,2022-05-29 07:00:00,CPU,75,16,330
T210,Sabrina,2022-05-30 22:00:00,CPU,75,8,865
T211,Emma,2022-05-17 22:00:00,CPU,105,16,1155
T212,Rafael,2022-05-15 11:00:00,CPU,125,16,310
T213,Ashton,2022-05-28 10:00:00,GPU,110,64,280
T214,Thomas,2022-05-16 06:00:00,CPU,105,16,1005
T215,Henry,2022-05-25 10:00:00,GPU,115,8,785
T216,Mary,2022-05-15 21:00:00,CPU,130,64,465
T217,Emily,2022-05-31 02:00:00,CPU,65,16,610
T218,Kellan,2022-05-28 12:00:00,GPU,65,8,790
T219,Sabrina,2022-05-18 13:00:00,GPU,95,32,270
T220,Eric,2022-05-16 10:00:00,GPU,60,64,480
T221,Agata,2022-05-26 13:00:00,CPU,120,128,285
T222,Jacob,2022-05-30 22:00:00,GPU,55,128,710
T223,Kate,2022-05-28 06:00:00,GPU,55,128,400
T224,Kristian,2022-05-16 04:00:00,GPU,150,8,305
T225,Lenny,2022-05-31 20:00:00,GPU,65,8,960
T226,Myra,2022-05-15 07:00:00,GPU,105,16,1030
T227,Alford,2022-05-16 00:00:00,CPU,115,128,700
T228,Edgar,2022-05-16 12:00:00,CPU,75,128,1025
T229,Tess,2022-05-20 21:00:00,CPU,115,128,605
T230,John,2022-05-25 08:00:00,CPU,120,128,1205
T231,Myra,2022-05-22 08:00:00,GPU,135,64,595
T232,Lucas,2022-05-19 18:00:00,CPU,55,128,865
T233,Walter,2022-05-26 21:00:00,CPU,70,64,530
T234,Lydia,2022-05-24 22:00:00,GPU,60,32,1005
T235,Lucia,2022-05-23 13:00:00,GPU,50,64,525
T236,Darcy,2022-05-17 16:00:00,CPU,140,16,830
T237,Madaline,2022-05-15 19:00:00,CPU,95,64,975
T238,Derek,2022-05-24 05:00:00,CPU,105,16,280
T239,Julia,2022-05-15 13:00:00,CPU,50,8,590
T240,Kristian,2022-05-16 00:00:00,GPU,150,32,1090
T241,Ashton,2022-05-15 05:00:00,CPU,110,128,660
T242,Sienna,2022-05-27 08:00:00,GPU,150,64,380
T243,Rosie,2022-05-21 10:00:00,CPU,90,64,1120
T244,Oliver,2022-05-27 21:00:00,GPU,120,64,625
T245,Briony,2022-05-23 12:00:00,GPU,150,128,930
T246,Kristian,2022-05-23 16:00:00,GPU,95,32,945
T247,Robert,2022-05-31 08:00:00,CPU,90,16,745
T248,Eleanor,2022-05-31 12:00:00,GPU,75,64,1245
T249,Patrick,2022-05-18 01:00:00,CPU,60,64,700
T250,Michelle,2022-05-18 08:00:00,CPU,125,8,400
T251,Arthur,2022-05-23 09:00:00,GPU,125,128,1020
T252,Alen,2022-05-31 08:00:00,CPU,100,64,990
T253,Ashton,2022-05-31 05:00:00,GPU,105,8,940
T254,Dexter,2022-05-18 01:00:00,GPU,85,64,775
T255,Julian,2022-05-26 14:00:00,CPU,125,128,525
T256,Rafael,2022-05-30 23:00:00,GPU,130,16,985
T257,Anna,2022-05-20 06:00:00,GPU,140,32,840
T258,Amanda,2022-05-15 00:00:00,CPU,110,16,445
T259,Sienna,2022-05-26 19:00:00,CPU,95,8,1205
T260,Lenny,2022-05-18 19:00:00,CPU,145,8,325
T261,Arthur,2022-05-24 14:00:00,GPU,125,128,580
T262,Vivian,2022-05-23 22:00:00,GPU,65,32,1220
T263,David,2022-05-28 00:00:00,CPU,135,32,800
T264,Fenton,2022-05-23 00:00:00,CPU,80,128,855
T265,Arthur,2022-05-20 14:00:00,CPU,90,64,305
T266,Amelia,2022-05-22 16:00:00,CPU,80,8,1250
T267,Nicholas,2022-05-25 08:00:00,CPU,130,128,260
T268,Richard,2022-05-19 00:00:00,GPU,150,16,1155
T269,Ellia,2022-05-29 16:00:00,CPU,55,128,510
T270,Robert,2022-05-18 17:00:00,CPU,70,8,815
T271,Elian,2022-05-23 07:00:00,CPU,140,64,275
T272,Sabrina,2022-05-27 02:00:00,CPU,125,32,640
T273,Julia,2022-05-27 07:00:00,GPU,100,64,615
T274,Walter,2022-05-25 05:00:00,CPU,150,32,580
T275,Isabella,2022-05-15 00:00:00,CPU,130,32,1195
T276,Maddie,2022-05-21 07:00:00,CPU,135,16,1215
T277,Rafael,2022-05-28 01:00:00,CPU,130,16,250
T278,Amber,2022-05-16 20:00:00,CPU,115,128,555
T279,Edgar,2022-05-26 15:00:00,CPU,115,64,1015
T280,Edward,2022-05-17 11:00:00,CPU,135,16,560
T281,Sienna,2022-05-18 15:00:00,CPU,85,128,920
T282,Sabrina,2022-05-22 16:00:00,CPU,110,64,1155
T283,Kellan,2022-05-29 23:00:00,CPU,50,128,940
T284,Briony,2022-05-30 14:00:00,GPU,125,128,735
T285,Ellia,2022-05-19 20:00:00,GPU,150,128,830
T286,Patrick,2022-05-25 02:00:00,CPU,145,32,750
T287,Walter,2022-05-29 05:00:00,GPU,150,32,910
T288,Melanie,2022-05-15 02:00:00,GPU,145,32,835
T289,Edwin,2022-05-15 09:00:00,GPU,125,16,965
T290,Adele,2022-05-29 15:00:00,GPU,55,32,325
T291,Julian,2022-05-22 18:00:00,CPU,65,8,755
T292,Lucia,2022-05-25 21:00:00,CPU,95,8,770
T293,Chloe,2022-05-19 23:00:00,CPU,95,8,1000
T294,Jordan,2022-05-19 20:00:00,GPU,120,32,420
T295,Patrick,2022-05-16 01:00:00,CPU,105,64,570
T296,Sophia,2022-05-20 00:00:00,CPU,120,128,495
T297,Edward,2022-05-16 03:00:00,GPU,65,16,700
T298,Rafael,2022-05-19 17:00:00,GPU,65,32,565
T299,Marcus,2022-05-21 08:00:00,CPU,70,16,715
T300,Thomas,2022-05-19 06:00:00,CPU,80,64,255
T301,Albert,2022-05-30 13:00:00,GPU,135,16,665
T302,Alissa,2022-05-15 13:00:00,GPU,50,64,1170
T303,Mary,2022-05-20 14:00:00,GPU,125,128,615
T304,Dainton,2022-05-15 13:00:00,CPU,85,8,690
T305,Charlie,2022-05-31 05:00:00,GPU,50,32,870
T306,Lucas,2022-05-15 02:00:00,GPU,130,32,1095
T307,Michelle,2022-05-29 08:00:00,CPU,70,16,1005
T308,Ryan,2022-05-16 12:00:00,CPU,95,128,965
T309,Aston,2022-05-18 16:00:00,CPU,95,16,725
T310,Myra,2022-05-26 06:00:00,GPU,50,8,825
T311,Jacob,2022-05-15 10:00:00,GPU,65,8,890
T312,John,2022-05-31 17:00:00,CPU,105,16,1105
T313,Sabrina,2022-05-17 09:00:00,GPU,150,8,805
T314,Derek,2022-05-17 20:00:00,GPU,135,16,570
T315,Dexter,2022-05-25 20:00:00,GPU,105,8,255
T316,Garry,2022-05-18 10:00:00,CPU,95,128,1020
T317,Darcy,2022-05-16 18:00:00,CPU,120,128,1070
T318,Kelvin,2022-05-28 09:00:00,GPU,150,8,510
T319,Sienna,2022-05-18 23:00:00,GPU,60,64,915
T320,Sophia,2022-05-31 10:00:00,GPU,145,128,910
T321,Sienna,2022-05-23 16:00:00,GPU,70,128,1150
T322,Sienna,2022-05-19 20:00:00,GPU,90,8,620
T323,Julia,2022-05-15 09:00:00,GPU,130,64,345
T324,Abraham,2022-05-30 01:00:00,GPU,110,128,520
T325,Camila,2022-05-19 04:00:00,CPU,100,16,885
T326,Charlie,2022-05-30 19:00:00,CPU,115,64,395
T327,Valeria,2022-05-31 22:00:00,GPU,75,8,870
T328,Carlos,2022-05-25 21:00:00,CPU,95,32,975
T329,Carlos,2022-05-28 12:00:00,CPU,55,128,1095
T330,Amber,2022-05-22 09:00:00,GPU,115,128,465
T331,Valeria,2022-05-19 18:00:00,GPU,135,16,610
T332,Darcy,2022-05-29 01:00:00,CPU,135,16,565
T333,Oliver,2022-05-17 22:00:00,CPU,140,16,745
T334,Camila,2022-05-25 21:00:00,CPU,115,64,855
T335,Eddy,2022-05-21 06:00:00,CPU,55,32,1150
T336,Rosie,2022-05-15 09:00:00,GPU,95,64,1225
T337,Jenna,2022-05-28 08:00:00,GPU,50,32,575
T338,Ashton,2022-05-18 19:00:00,GPU,65,32,745
T339,Abraham,2022-05-25 08:00:00,GPU,50,32,325
T340,Valeria,2022-05-17 11:00:00,CPU,60,64,645
T341,Myra,2022-05-29 11:00:00,CPU,125,8,1235
T342,Dexter,2022-05-27 20:00:00,CPU,85,16,760
T343,Robert,2022-05-20 07:00:00,CPU,125,128,750
T344,Sophia,2022-05-23 03:00:00,CPU,105,16,1200
T345,Lucy,2022-05-24 02:00:00,GPU,50,8,665
T346,Darcy,2022-05-31 05:00:00,CPU,140,32,270
T347,Kate,2022-05-16 10:00:00,GPU,130,8,1025
T348,Maya,2022-05-29 05:00:00,GPU,130,8,290
T349,Alford,2022-05-29 16:00:00,GPU,120,8,700
T350,Arthur,2022-05-28 10:00:00,CPU,75,32,795
T351,Rafael,2022-05-22 03:00:00,CPU,95,8,1185
T352,Maddie,2022-05-19 22:00:00,GPU,90,16,285
T353,Michelle,2022-05-24 15:00:00,CPU,150,32,1030
T354,Alissa,2022-05-21 14:00:00,CPU,150,64,890
T355,Maddie,2022-05-31 07:00:00,GPU,85,16,265
T356,Nicole,2022-05-15 01:00:00,GPU,120,128,370
T357,Jacob,2022-05-26 13:00:00,CPU,135,32,325
T358,Hailey,2022-05-29 15:00:00,CPU,75,32,365
T359,Arianna,2022-05-24 09:00:00,CPU,140,32,835
T360,Sarah,2022-05-31 09:00:00,GPU,125,128,290
T361,Nicholas,2022-05-15 10:00:00,CPU,95,16,410
T362,Kellan,2022-05-25 06:00:00,GPU,95,8,270
T363,Agata,2022-05-20 05:00:00,GPU,75,8,250
T364,Sam,2022-05-27 16:00:00,GPU,140,16,525
T365,Lucas,2022-05-23 05:00:00,CPU,105,32,770
T366,Ryan,2022-05-26 21:00:00,GPU,110,16,1095
T367,Violet,2022-05-19 00:00:00,GPU,50,32,730
T368,Sophia,2022-05-28 02:00:00,GPU,50,32,1080
T369,Alina,2022-05-16 06:00:00,GPU,140,16,1075
T370,Nicole,2022-05-20 21:00:00,CPU,130,8,855
T371,Sabrina,2022-05-21 15:00:00,CPU,50,128,460
T372,Agata,2022-05-30 14:00:00,CPU,55,8,1230
T373,Aiden,2022-05-29 05:00:00,GPU,130,64,935
T374,Sydney,2022-05-31 09:00:00,CPU,145,64,675
T375,Jacob,2022-05-21 23:00:00,CPU,110,32,590
T376,Alan,2022-05-30 14:00:00,CPU,150,64,1075
T377,Lenny,2022-05-30 18:00:00,GPU,50,8,1220
T378,Agata,2022-05-22 21:00:00,CPU,125,128,595
T379,Hailey,2022-05-21 16:00:00,CPU,100,8,725
T380,Julia,2022-05-21 13:00:00,GPU,135,32,370
T381,Alissa,2022-05-25 23:00:00,GPU,90,16,335
T382,Kelsey,2022-05-24 02:00:00,GPU,135,64,1180
T383,Dexter,2022-05-24 00:00:00,CPU,135,8,250
T384,Dexter,2022-05-29 05:00:00,GPU,110,16,1215
T385,Honey,2022-05-23 14:00:00,CPU,60,128,665
T386,Sophia,2022-05-26 23:00:00,GPU,110,64,755
T387,Jared,2022-05-31 06:00:00,CPU,125,8,1205
T388,Paul,2022-05-15 17:00:00,CPU,70,128,285
T389,Kelvin,2022-05-24 17:00:00,CPU,110,64,380
T390,Kelvin,2022-05-26 13:00:00,GPU,75,16,925
T391,Kristian,2022-05-30 23:00:00,GPU,135,16,565
T392,Darcy,2022-05-16 04:00:00,GPU,130,16,910
T393,Carlos,2022-05-24 08:00:00,CPU,70,16,570
T394,Aiden,2022-05-27 04:00:00,GPU,90,32,395
T395,Garry,2022-05-31 21:00:00,GPU,60,128,1190
T396,Daryl,2022-05-18 01:00:00,GPU,100,128,825
T397,Rafael,2022-05-25 21:00:00,GPU,50,8,940
T398,Aiden,2022-05-15 02:00:00,CPU,115,16,535
T399,Richard,2022-05-15 13:00:00,CPU,110,32,575
T400,Jenna,2022-05-24 15:00:00,CPU,135,16,1070
T401,Kellan,2022-05-27 09:00:00,GPU,115,16,925
T402,Alen,2022-05-30 06:00:00,GPU,115,32,815
T403,Connie,2022-05-30 19:00:00,CPU,90,16,1035
T404,Carl,2022-05-19 00:00:00,CPU,75,64,925
T405,Daryl,2022-05-28 03:00:00,GPU,75,128,565
T406,Jenna,2022-05-26 21:00:00,GPU,65,8,490
T407,Tess,2022-05-30 19:00:00,CPU,60,16,315
T408,Madaline,2022-05-24 14:00:00,GPU,145,128,695
T409,David,2022-05-23 06:00:00,CPU,60,32,475
T410,Hailey,2022-05-26 14:00:00,GPU,110,32,440
T411,Stella,2022-05-19 16:00:00,CPU,135,8,300
T412,Eddy,2022-05-25 02:00:00,GPU,100,16,725
T413,Melanie,2022-05-21 20:00:00,GPU,90,8,1130
T414,Eleanor,2022-05-19 07:00:00,CPU,130,64,1180
T415,Kelvin,2022-05-25 09:00:00,GPU,100,32,925
T416,Edward,2022-05-30 04:00:00,CPU,50,16,555
T417,Alexander,2022-05-25 20:00:00,GPU,50,64,615
T418,Aiden,2022-05-20 15:00:00,GPU,50,16,1050
T419,Carl,2022-05-27 03:00:00,GPU,95,64,275
T420,Madaline,2022-05-16 05:00:00,GPU,60,32,815
T421,Tyler,2022-05-24 05:00:00,CPU,100,32,745
T422,Alexander,2022-05-17 21:00:00,CPU,125,64,735
T423,Alfred,2022-05-27 04:00:00,GPU,85,64,925
T424,Caroline,2022-05-22 00:00:00,GPU,145,8,1105
T425,Agata,2022-05-17 03:00:00,CPU,85,8,1050
T426,Arthur,2022-05-26 10:00:00,CPU,120,32,700
T427,Isabella,2022-05-20 10:00:00,CPU,100,64,540
T428,Byron,2022-05-20 15:00:00,CPU,85,128,590
T429,Chloe,2022-05-15 19:00:00,CPU,105,16,255
T430,Carlos,2022-05-19 01:00:00,CPU,140,128,460
T431,Abraham,2022-05-24 20:00:00,CPU,100,64,775
T432,Maddie,2022-05-17 00:00:00,CPU,50,8,670
T433,Jenna,2022-05-17 19:00:00,GPU,135,128,525
T434,Amanda,2022-05-18 18:00:00,CPU,95,64,650
T435,Rafael,2022-05-30 23:00:00,CPU,120,64,760
T436,Alfred,2022-05-16 09:00:00,CPU,125,8,500
T437,Robert,2022-05-21 04:00:00,CPU,60,16,250
T438,Alfred,2022-05-29 16:00:00,CPU,95,128,1015
T439,Kate,2022-05-24 12:00:00,GPU,65,32,1080
T440,Savana,2022-05-22 13:00:00,CPU,60,64,1155
T441,Kellan,2022-05-24 01:00:00,CPU,120,16,1020
T442,Kristian,2022-05-16 13:00:00,GPU,95,128,770
T443,Savana,2022-05-19 16:00:00,CPU,145,128,590
T444,Alexia,2022-05-20 18:00:00,CPU,70,128,265
T445,Valeria,2022-05-22 18:00:00,CPU,120,8,890
T446,Maddie,2022-05-27 14:00:00,CPU,110,16,805
T447,Aida,2022-05-28 10:00:00,CPU,115,64,1095
T448,Blake,2022-05-15 01:00:00,GPU,150,64,1165
T449,Amber,2022-05-20 00:00:00,CPU,100,16,445
